original,compare,original_photo,compare_photo,distance
pt,de,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Paraiba_in_Brazil.svg.png,0.88218604773283
pt,it,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9751528911292553
pt,it,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Paraiba_in_Brazil.svg.png,0.88218604773283
pt,ru,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Aldeia_camurupim.jpg,0.7400171160697937
pt,ru,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9751528911292553
pt,ru,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Brazil_Paraiba_location_map.svg.png,0.8959404155611992
pt,ru,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Paraiba_in_Brazil.svg.png,0.88218604773283
pt,zh,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9751528911292553
pt,zh,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Brasao_paraiba.PNG,0.9223970174789429
pt,zh,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Brazil_State_Paraiba.svg.png,0.8897974938154221
pt,fr,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Atlas_Van_der_Hagen-KW1049B13_097-PRAEFECTURAE_DE_PARAIBA%2C_ET_RIO_GRANDE.jpeg,0.878065437078476
pt,fr,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9751528911292553
pt,fr,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Flag_of_Brazil.svg.png,0.9563141092658043
pt,fr,2240px-A%C3%A7ude_S%C3%A3o_Gon%C3%A7alo%2C_18_jul_2021%2C_Sousa_%28PB%29.jpg,2240px-Groupes_Ethniques_au_Para%C3%ADba-2010.png,0.9455936029553413
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px--_paraiba_tourmaine.png,0.9541654288768768
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-BR-101%2C_Pedras_de_Fogo_%28PB%29.jpg,0.8133769780397415
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Bandeira_da_Para%C3%ADba.svg.png,0.9787299204617739
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Botxtre.jpg,0.8548139184713364
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Bras%C3%A3o_da_Capitania_da_Para%C3%ADba.jpg,0.931135967373848
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Brazil_State_Paraiba.svg.png,0.9479478001594543
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-CCJ-UEPB.jpg,0.8802293762564659
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Campina_Grande_-_Para%C3%ADba_-_Brasil%286%29.jpg,0.7510674297809601
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Eleva%C3%A7%C3%B5es_rochosas_com_foto_tirada_durante_passeio_fotogr%C3%A1fico_ao_Pico_do_Jabre.jpg,0.8859727755188942
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Ethnic_groups_in_Para%C3%ADba-2010.png,0.9467506818473339
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Ind%C3%BAstria_3_de_Maio.jpg,0.8705635517835617
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Jo%C3%A3o-Pessoa-Bairro-Tamba%C3%BA.jpg,0.7964556068181992
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Jo%C3%A3o_Pessoa_Cavalcanti_de_Albuquerque.jpg,0.9624377377331257
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Marcelo_Calero_conhece_o_S%C3%A3o_Jo%C3%A3o_de_Campina_Grande_%2827586988420%29.jpg,0.8224510997533798
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Mausol%C3%A9u_de_Jo%C3%A3o_Pessoa%2C_Jo%C3%A3o_Pessoa_%28PB%29.jpg,0.7897578477859497
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Novo_mapa_Capitanias.jpg,0.9153540208935738
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Para%C3%ADba_K%C3%B6ppen.svg.png,0.9002576172351837
pt,en,2240px-A%C3%A7ude_Velho_Campina_Grande_PB_-_40175999034.jpg,2240px-Paraiba_in_Brazil.svg.png,0.9304515048861504
